Time_s,GS_ROM,GS_SVA,GS_MAU,GS_REU,Total_Throughput_Gbps,Active_ISL_Links,Active_SGL_Links
11740.0,641.8856133253609,155.19969074749125,616.0643480646469,370.5248584018485,1783.6745105393475,67,6
11750.0,642.7252398007989,154.5171677882018,616.0643712247013,370.52485642664845,1783.8316352403506,67,6
11760.0,643.5625409777538,153.8229572584232,616.0643943951152,370.52485443622265,1783.974747067515,67,6
11770.0,644.3975497515864,153.11872106391831,616.0644175759367,370.5248524305787,1784.1055408220202,67,6
11780.0,645.2302984457219,152.40629281422608,616.0644407670766,370.5248504096641,1784.2258824366886,67,6
11790.0,646.060818813218,151.68761726710295,616.0644639685686,370.52484837345787,1784.3377484223474,67,6
11800.0,646.8891420386304,150.9646859311768,616.06448718039,370.524846321966,1784.4431614721632,67,6
11810.0,647.7152987400948,150.2394704499423,616.0645104024693,370.52484425513546,1784.544123847642,67,6
11820.0,648.539318971758,149.51385538506742,616.0645336348485,370.52484217295626,1784.64255016463,67,6
11830.0,649.3612322262377,148.78957215270032,616.0645568774775,370.5248400754042,1784.7402013318197,67,6
11840.0,650.1810674374342,148.06813621938417,616.0645801303311,370.52483796244854,1784.8386217495981,67,6
11850.0,650.9988529834208,147.3507902691793,616.0646033934189,370.5248358340944,1784.9390824801135,67,6
11860.0,651.8146166895503,146.63845686356188,616.0646266666897,370.5248336902909,1785.042533910093,67,6
11870.0,652.6283858316585,145.9317049549928,616.0646499501529,370.52483153102605,1785.1495722678303,67,6
11880.0,653.4401871394291,145.23073514688625,616.0646732437638,370.52482935627694,1785.260424886356,68,6
11890.0,654.2500467998592,144.53538833421368,616.064696547531,370.52482716602185,1785.3749588476257,68,6
11900.0,655.057990460795,143.84518079446283,616.0647198613844,370.52482496022776,1785.49271607687,68,6
11910.0,655.8640432346579,143.15936562046423,616.064743185359,370.5248227388915,1785.6129747793725,69,6
11920.0,656.6682297021224,142.47701582185815,616.064766519404,370.52482050199217,1785.7348325453765,69,6
11930.0,657.4705739159463,141.7971194795413,616.0647898635216,370.5248182494863,1785.8573015084953,69,6
11940.0,658.2710994048143,141.11867370816228,616.0648132176807,370.52481598136353,1785.9794023120207,69,6
11950.0,659.0698291773192,140.43351670296784,616.0648365818636,370.5248136976004,1786.092996159751,66,5
11960.0,659.8667857258428,139.75847627771952,616.0648599560398,370.52481139817417,1786.214933357776,66,5
11970.0,660.6619910305988,139.08134361447594,616.0648833402042,370.5248090830628,1786.3330270683416,66,5
11980.0,661.4554665636533,138.40212628100423,616.0649067343325,370.5248067522444,1786.4473063312344,66,5
11990.0,662.2472332929597,137.72083161640907,616.0649301383942,370.5248044056871,1786.55779945345,66,5
12000.0,663.0373116864342,137.03746673127867,616.0649535524044,370.524802043397,1786.6645340135142,66,5
12010.0,663.8257217160178,136.3520385079551,616.0649769763053,370.5247996653237,1786.7675368656019,65,5
12020.0,664.612482861772,135.6751079901287,616.065000410086,370.5247972714537,1786.8773885334404,65,6
12030.0,665.3976141159143,134.99220844505967,616.0650238537486,370.52479486176566,1786.979641276488,65,6
12040.0,666.181133986969,134.31041701900827,616.065047307242,370.52479243623617,1787.0813907494553,65,6
12050.0,666.9630605037696,133.63065735474612,616.0650707705685,370.5247899948348,1787.183578623919,65,6
12060.0,667.7434112195509,132.95387098126523,616.065094243704,370.5247875375577,1787.2871639820778,65,6
12070.0,668.5222032159465,132.28093150447052,616.0651177266366,370.52478506438274,1787.3930375114364,65,6
12080.0,669.2994531070979,131.61255550248694,616.0651412193424,370.52478257526917,1787.5019324041964,64,6
12090.0,670.0751770435644,130.94922274288413,616.0651647217768,370.5247800702037,1787.6143445784292,64,6
12100.0,670.8493907163564,130.29111546983881,616.0651882339486,370.52477754915503,1787.7304719692988,66,6
12110.0,671.6221093609134,129.63808208065242,616.0652117558335,370.5247750121291,1787.8501782095286,65,6
12120.0,672.3933477609412,128.9896261204318,616.0652352874129,370.52477245906584,1787.9729816278518,65,6
12130.0,673.1631202524333,128.3449182431687,616.0652588286697,370.5247698899825,1788.0980672142541,65,6
12140.0,673.9314407274131,127.70282697601128,616.0652823795529,370.52476730481703,1788.2243173877944,65,6
12150.0,674.6983226378889,127.06196359562317,616.0653059400776,370.5247647035861,1788.3503568771757,65,6
12160.0,675.4637789995681,126.42073674141041,616.065329510226,370.52476208622795,1788.4746073374326,65,6
12170.0,676.2278223956441,125.77741309649352,616.0653530899534,370.5247594527617,1788.595348034853,66,6
12180.0,676.9904649805802,125.13018122417694,616.0653766792818,370.524756803135,1788.710779687174,66,6
12190.0,677.7517184837055,124.4772162630366,616.0654002781275,370.5247541373353,1788.8190891622048,66,6
12200.0,678.511594212982,123.81674358978654,616.0654238865255,370.5247514553387,1788.918513144633,66,6
12210.0,679.270103058536,123.14709977220417,616.0654475044444,370.5247487571274,1789.007399092312,66,6
12220.0,680.0272554962894,122.46678921553716,616.0654711318526,370.5247460426751,1789.0842618863544,68,6
12230.0,680.7830615914445,121.77453493075893,616.0654947687268,370.5247433119629,1789.147834602893,68,6
12240.0,681.5375310020817,121.069321892366,616.065518415074,370.5247405649657,1789.1971118744873,68,6
12250.0,682.2906729824979,120.35043156049268,616.0655420708448,370.5247378016554,1789.231384415491,68,6
12260.0,683.0424963867504,119.61746634731654,616.0655657360334,370.52473502203514,1789.2502634921357,68,6
12270.0,683.793009671955,118.87036311658578,616.0655894106354,370.5247322260576,1789.2536944252338,68,6
12280.0,684.5422209016278,118.10939520077739,616.065613094593,370.52472941370706,1789.2419586107053,68,6
12290.0,685.2901377490781,117.33516286837944,616.0656367879083,370.52472658496276,1789.2156639903285,68,6
12300.0,686.0367675005376,116.54857262952869,616.0656604905765,370.52472373980464,1789.1757243604475,68,6
12310.0,686.7821170585187,115.75080618543687,616.0656842025531,370.5247208781977,1789.1233283247066,68,6
12320.0,687.5261929449023,114.94328016679867,616.0657079238338,370.52471800015155,1789.0598990356864,68,6
12330.0,688.2690013041237,114.12759804473319,616.0657316544001,370.5247151056145,1788.9870461088717,68,6
12340.0,689.0105479062786,113.30549573170555,616.0657553942142,370.5247121945731,1788.9065112267715,68,6
12350.0,689.7508381502023,112.47878244021484,616.0657791432715,370.5247092670078,1788.8201090006964,68,6
12360.0,690.4898770664537,111.64927837849238,616.0658029015601,370.5247063228942,1788.7296646694003,68,6
12370.0,691.2276693204097,110.81875089918903,616.0658266690366,370.52470336220125,1788.6369502508367,68,6
12380.0,691.9642192151188,109.9888508535934,616.0658504456956,370.52470038493743,1788.5436208993451,68,6
12390.0,692.6995306942954,109.16105120905175,616.0658742315186,370.52469739105044,1788.4511535259162,68,6
12400.0,693.4336073451703,108.33659049892897,616.0658980265016,370.5246943805182,1788.3607902511192,68,6
12410.0,694.1664524013792,107.51642436528175,616.0659218305733,370.5246913533497,1788.273489950584,68,6
12420.0,694.8980687457428,106.7011891913392,616.0659456437619,370.5246883094918,1788.1898918903357,68,6
12430.0,695.6284589130995,105.89118233325497,616.0659694660299,370.5246852489333,1788.1102959613177,68,6
12440.0,696.3576250930188,105.08636334498017,616.0659932973715,370.5246821716515,1788.034663907022,69,6
12450.0,697.0855691325746,104.28637939162115,616.0660171377501,370.52467907762644,1787.9626447395722,69,6
12460.0,697.8122925389814,103.4906154474136,616.0660409871401,370.52467596682504,1787.89362494036,69,6
12470.0,698.5377964822924,102.69826596746489,616.06606484555,370.52467283924403,1787.8268001345514,69,6
12480.0,699.2620817980273,101.90842025095203,616.0660887129422,370.5246696948632,1787.7612604567848,69,6
12490.0,699.9851489897492,101.12015006108845,616.0661125892989,370.5246665336409,1787.6960781737776,69,6
12500.0,700.7069982317084,100.32465812599688,616.066136474601,370.5246633555656,1787.622456187872,68,5
12510.0,701.42762937129,99.540377656734,616.066160368838,370.5246601606142,1787.5588275574764,68,5
12520.0,702.1470419316511,98.7541435455526,616.0661842719516,370.52465694876554,1787.4920266979207,68,5
